time,time_change,time,time_change,h,F,buoyancy,Fv(N),x/d,y/d,Cfr,Cfv
47.294,30,47.294,30,50,1.975279656,0.328736255,1.646543401,0,0.75,0,0.655138803
47.289,29.995,47.289,29.995,50.005,1.975620651,0.328736255,1.646884396,0,0.750125,0,0.655274481
47.284,29.99,47.284,29.99,50.01,1.976234413,0.328736255,1.647498157,0,0.75025,0,0.655518689
47.279,29.985,47.279,29.985,50.015,1.976806607,0.328736255,1.648070352,0,0.750375,0,0.655746358
47.274,29.98,47.274,29.98,50.02,1.977757056,0.328736255,1.649020801,0,0.7505,0,0.656124529
47.269,29.975,47.269,29.975,50.025,1.978794692,0.328736255,1.650058437,0,0.750625,0,0.656537392
47.264,29.97,47.264,29.97,50.03,1.979544796,0.328736255,1.65080854,0,0.75075,0,0.656835848
47.259,29.965,47.259,29.965,50.035,1.979955154,0.328736255,1.651218898,0,0.750875,0,0.656999125
47.254,29.96,47.254,29.96,50.04,1.979967116,0.328736255,1.651230861,0,0.751,0,0.657003884
47.249,29.955,47.249,29.955,50.045,1.979439369,0.328736255,1.650703114,0,0.751125,0,0.6567939
47.244,29.95,47.244,29.95,50.05,1.978893073,0.328736255,1.650156817,0,0.75125,0,0.656576536
47.239,29.945,47.239,29.945,50.055,1.979378401,0.328736255,1.650642146,0,0.751375,0,0.656769642
47.234,29.94,47.234,29.94,50.06,1.98210508,0.328736255,1.653368824,0,0.7515,0,0.657854553
47.229,29.935,47.229,29.935,50.065,1.981661437,0.328736255,1.652925182,0,0.751625,0,0.657678033
47.224,29.93,47.224,29.93,50.07,1.981421645,0.328736255,1.65268539,0,0.75175,0,0.657582623
47.219,29.925,47.219,29.925,50.075,1.981695251,0.328736255,1.652958995,0,0.751875,0,0.657691487
47.214,29.92,47.214,29.92,50.08,1.981914171,0.328736255,1.653177916,0,0.752,0,0.657778593
47.209,29.915,47.209,29.915,50.085,1.981756877,0.328736255,1.653020622,0,0.752125,0,0.657716007
47.204,29.91,47.204,29.91,50.09,1.981107882,0.328736255,1.652371626,0,0.75225,0,0.65745778
47.199,29.905,47.199,29.905,50.095,1.98060327,0.328736255,1.651867014,0,0.752375,0,0.657257002
47.194,29.9,47.194,29.9,50.1,1.980342277,0.328736255,1.651606021,0,0.7525,0,0.657153156
47.189,29.895,47.189,29.895,50.105,1.980094448,0.328736255,1.651358193,0,0.752625,0,0.657054548
47.184,29.89,47.184,29.89,50.11,1.979786513,0.328736255,1.651050258,0,0.75275,0,0.656932024
47.179,29.885,47.179,29.885,50.115,1.97905349,0.328736255,1.650317235,0,0.752875,0,0.656640364
47.174,29.88,47.174,29.88,50.12,1.978364781,0.328736255,1.649628526,0,0.753,0,0.656366335
47.169,29.875,47.169,29.875,50.125,1.977963809,0.328736255,1.649227554,0,0.753125,0,0.656206794
47.164,29.87,47.164,29.87,50.13,1.977824033,0.328736255,1.649087777,0,0.75325,0,0.656151178
47.159,29.865,47.159,29.865,50.135,1.977844917,0.328736255,1.649108661,0,0.753375,0,0.656159488
47.154,29.86,47.154,29.86,50.14,1.977503045,0.328736255,1.648766789,0,0.7535,0,0.656023461
47.149,29.855,47.149,29.855,50.145,1.976959931,0.328736255,1.648223676,0,0.753625,0,0.655807363
47.144,29.85,47.144,29.85,50.15,1.976524592,0.328736255,1.647788337,0,0.75375,0,0.655634148
47.139,29.845,47.139,29.845,50.155,1.975917476,0.328736255,1.64718122,0,0.753875,0,0.655392583
47.134,29.84,47.134,29.84,50.16,1.97573618,0.328736255,1.646999924,0,0.754,0,0.655320448
47.129,29.835,47.129,29.835,50.165,1.975608492,0.328736255,1.646872237,0,0.754125,0,0.655269643
47.124,29.83,47.124,29.83,50.17,1.975403935,0.328736255,1.64666768,0,0.75425,0,0.655188252
47.119,29.825,47.119,29.825,50.175,1.975244848,0.328736255,1.646508593,0,0.754375,0,0.655124954
47.114,29.82,47.114,29.82,50.18,1.975190536,0.328736255,1.646454281,0,0.7545,0,0.655103343
47.109,29.815,47.109,29.815,50.185,1.975024289,0.328736255,1.646288034,0,0.754625,0,0.655037196
47.104,29.81,47.104,29.81,50.19,1.974686321,0.328736255,1.645950066,0,0.75475,0,0.654902723
47.099,29.805,47.099,29.805,50.195,1.974730578,0.328736255,1.645994322,0,0.754875,0,0.654920332
47.094,29.8,47.094,29.8,50.2,1.975451706,0.328736255,1.646715451,0,0.755,0,0.65520726
47.089,29.795,47.089,29.795,50.205,1.976210784,0.328736255,1.647474528,0,0.755125,0,0.655509287
47.084,29.79,47.084,29.79,50.21,1.976565533,0.328736255,1.647829278,0,0.75525,0,0.655650437
47.079,29.785,47.079,29.785,50.215,1.976974533,0.328736255,1.648238277,0,0.755375,0,0.655813173
47.074,29.78,47.074,29.78,50.22,1.977514814,0.328736255,1.648778558,0,0.7555,0,0.656028144
47.069,29.775,47.069,29.775,50.225,1.97752905,0.328736255,1.648792795,0,0.755625,0,0.656033809
47.064,29.77,47.064,29.77,50.23,1.976856188,0.328736255,1.648119932,0,0.75575,0,0.655766085
47.059,29.765,47.059,29.765,50.235,1.975569639,0.328736255,1.646833383,0,0.755875,0,0.655254184
47.054,29.76,47.054,29.76,50.24,1.973734711,0.328736255,1.644998456,0,0.756,0,0.654524089
47.049,29.755,47.049,29.755,50.245,1.972910778,0.328736255,1.644174523,0,0.756125,0,0.654196257
47.044,29.75,47.044,29.75,50.25,1.974954733,0.328736255,1.646218477,0,0.75625,0,0.65500952
47.039,29.745,47.039,29.745,50.255,1.976294976,0.328736255,1.647558721,0,0.756375,0,0.655542786
47.034,29.74,47.034,29.74,50.26,1.976154214,0.328736255,1.647417959,0,0.7565,0,0.655486779
47.029,29.735,47.029,29.735,50.265,1.975751067,0.328736255,1.647014812,0,0.756625,0,0.655326372
47.024,29.73,47.024,29.73,50.27,1.975264515,0.328736255,1.64652826,0,0.75675,0,0.655132779
47.019,29.725,47.019,29.725,50.275,1.974542123,0.328736255,1.645805868,0,0.756875,0,0.654845348
47.014,29.72,47.014,29.72,50.28,1.973566221,0.328736255,1.644829966,0,0.757,0,0.654457049
47.009,29.715,47.009,29.715,50.285,1.972340165,0.328736255,1.64360391,0,0.757125,0,0.653969217
47.004,29.71,47.004,29.71,50.29,1.970959831,0.328736255,1.642223576,0,0.75725,0,0.653419999
46.999,29.705,46.999,29.705,50.295,1.970197942,0.328736255,1.641461687,0,0.757375,0,0.653116854
46.994,29.7,46.994,29.7,50.3,1.970880045,0.328736255,1.64214379,0,0.7575,0,0.653388254
46.989,29.695,46.989,29.695,50.305,1.973088959,0.328736255,1.644352704,0,0.757625,0,0.654267153
46.984,29.69,46.984,29.69,50.31,1.974787563,0.328736255,1.646051308,0,0.75775,0,0.654943005
