x/d,y/d,Cfr,Cfv
0.5,0.75,-0.101057601,0.749670749
0.5,0.750125,-0.090980502,0.751930345
0.5,0.75025,-0.086196451,0.754041925
0.5,0.7505,-0.084549968,0.762849845
0.5,0.750625,-0.081404059,0.777126458
0.5,0.75075,-0.077614037,0.794882796
0.5,0.750875,-0.072839121,0.801847664
0.5,0.751125,-0.064095309,0.80733184
0.5,0.75125,-0.061579381,0.805109499
0.5,0.751375,-0.060444626,0.79969356
0.5,0.751625,-0.057892072,0.794172914
0.5,0.75175,-0.054756269,0.79080053
0.5,0.751875,-0.05118318,0.786385712
0.5,0.752,-0.048835789,0.778146465
0.5,0.75225,-0.051819856,0.752575028
0.5,0.752375,-0.056906233,0.742577541
0.5,0.7525,-0.062735131,0.737394443
0.5,0.752625,-0.068873358,0.738804295
0.5,0.752875,-0.07122662,0.748200073
0.5,0.753,-0.069037095,0.761175389
0.5,0.753125,-0.067659089,0.771135816
0.5,0.753375,-0.062625145,0.78520075
0.5,0.7535,-0.058130271,0.786308156
0.5,0.753625,-0.05476511,0.780048638
0.5,0.75375,-0.05191655,0.773161395
0.5,0.754,-0.047060175,0.762178944
0.5,0.754125,-0.046052131,0.750331883
0.5,0.75425,-0.04538845,0.739549505
0.5,0.754375,-0.045684456,0.731395258
0.5,0.754625,-0.048128063,0.709147111
0.5,0.75475,-0.049775077,0.700019523
0.5,0.754875,-0.053924672,0.695093724
0.5,0.755125,-0.061044789,0.693850186
0.5,0.75525,-0.049766765,0.661382318
0.5,0.755375,-0.047342556,0.665510542
0.5,0.7555,-0.051051273,0.680116476
0.5,0.75575,-0.058915824,0.684439703
0.5,0.755875,-0.062722711,0.684175361
0.5,0.756,-0.066703551,0.68728284
0.5,0.75625,-0.071782962,0.694156945
0.5,0.756375,-0.072412362,0.696144623
0.5,0.7565,-0.071581757,0.702368362
0.5,0.756625,-0.073593251,0.709919752
0.5,0.756875,-0.085288363,0.729099054
0.5,0.757,-0.087202561,0.733551293
0.5,0.757125,-0.084575339,0.737159868
0.5,0.75725,-0.07954344,0.740979232
0.5,0.7575,-0.068099669,0.743542689
0.5,0.757625,-0.06574283,0.735517029
0.5,0.75775,-0.065466262,0.731389968
0.5,0.758,-0.062034594,0.746861959
0.5,0.758125,-0.058771936,0.748465305
0.5,0.75825,-0.055834521,0.745945438
0.5,0.758375,-0.053755149,0.739673376
0.5,0.758625,-0.050710803,0.718292213
0.5,0.75875,-0.050665117,0.703751552
0.5,0.758875,-0.052084637,0.692891364
0.5,0.759,-0.045072518,0.712337317
0.5,0.75925,-0.065595268,0.692350835
0.5,0.759375,-0.074091554,0.690564408
0.5,0.7595,-0.076992413,0.697819765
0.5,0.75975,-0.079553599,0.712217942
0.5,0.759875,-0.07987485,0.721777116
0.5,0.76,-0.080569161,0.729263326
0.5,0.760125,-0.081592623,0.735657597
0.5,0.760375,-0.080796172,0.740845214
0.5,0.7605,-0.077567507,0.744328442
0.5,0.760625,-0.073367576,0.753336615
0.5,0.76075,-0.069799615,0.753698057
0.5,0.761,-0.061671563,0.749972319
0.5,0.761125,-0.056455912,0.750136531
0.5,0.76125,-0.050612169,0.746079801
0.5,0.7615,-0.043264392,0.713098584
